iter	Passed	Remaining
0	0	65
1	1	59
2	1	56
3	2	52
4	2	55
5	3	54
6	4	53
7	4	52
8	5	52
9	5	51
10	6	50
11	6	50
12	7	49
13	7	48
14	8	48
15	9	48
16	9	47
17	10	46
18	10	45
19	11	45
20	11	44
21	13	48
22	15	53
23	16	52
24	17	52
25	18	53
26	20	54
27	21	56
28	22	56
29	23	55
30	24	55
31	25	54
32	26	52
33	27	52
34	28	52
35	28	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	46
41	32	44
42	33	43
43	33	43
44	34	42
45	34	41
46	35	40
47	36	39
48	36	38
49	37	37
50	37	36
51	38	35
52	38	34
53	39	33
54	40	32
55	40	31
56	41	31
57	41	30
58	42	29
59	42	28
60	43	27
61	43	26
62	44	26
63	45	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	48	20
70	49	20
71	49	19
72	50	18
73	50	17
74	51	17
75	51	16
76	52	15
77	53	15
78	53	14
79	54	13
80	54	12
81	55	12
82	56	11
83	56	10
84	57	10
85	57	9
86	58	8
87	59	8
88	59	7
89	60	6
90	60	6
91	61	5
92	61	4
93	62	3
94	62	3
95	63	2
96	64	1
97	64	1
98	65	0
99	65	0
