iter	Passed	Remaining
0	151	151458
1	152	76005
2	152	50810
3	153	38240
4	154	30756
5	155	25700
6	155	22089
7	156	19375
8	156	17267
9	157	15578
10	157	14197
11	158	13046
12	158	12071
13	159	11248
14	160	10532
15	160	9897
16	161	9337
17	162	8839
18	162	8393
19	163	7992
20	163	7630
21	164	7300
22	164	6999
23	165	6727
24	166	6479
25	166	6246
26	167	6028
27	167	5826
28	168	5650
29	169	5475
30	169	5310
31	170	5157
32	171	5017
33	171	4885
34	172	4756
35	173	4642
36	174	4530
37	174	4425
38	175	4330
39	176	4236
40	178	4166
41	178	4076
42	179	3990
43	179	3907
44	180	3828
45	180	3752
46	181	3680
47	182	3611
48	182	3547
49	183	3489
50	184	3432
51	185	3374
52	185	3318
53	186	3264
54	187	3213
55	187	3162
56	188	3113
57	188	3065
58	189	3019
59	190	2979
60	190	2936
61	191	2894
62	191	2853
63	192	2814
64	192	2776
65	193	2739
66	194	2703
67	194	2667
68	195	2635
69	196	2604
70	196	2571
71	197	2540
72	197	2509
73	198	2480
74	198	2450
75	199	2423
76	199	2395
77	200	2368
78	200	2342
79	201	2318
80	202	2295
81	202	2271
82	203	2244
83	203	2221
84	204	2198
85	204	2177
86	205	2155
87	205	2134
88	206	2114
89	207	2093
90	207	2076
91	208	2057
92	209	2038
93	209	2020
94	210	2002
95	210	1984
96	211	1966
97	211	1949
98	212	1932
99	212	1916
100	213	1899
101	214	1885
102	214	1869
103	215	1854
104	215	1839
105	216	1824
106	216	1810
107	217	1796
108	218	1782
109	218	1768
110	219	1755
111	219	1742
112	220	1730
113	221	1717
114	221	1705
115	222	1692
116	222	1679
117	223	1667
118	223	1656
119	224	1644
120	224	1633
121	225	1621
122	225	1610
123	226	1600
124	227	1589
125	227	1578
126	228	1567
127	228	1557
128	229	1547
129	229	1537
130	230	1527
131	230	1517
132	231	1507
133	231	1498
134	232	1490
135	233	1481
136	233	1472
137	234	1463
138	234	1454
139	235	1446
140	235	1437
141	236	1427
142	236	1419
143	237	1411
144	237	1403
145	238	1395
146	239	1387
147	239	1379
148	240	1372
149	240	1364
150	241	1356
151	241	1349
152	242	1341
153	242	1334
154	243	1327
155	244	1320
156	244	1313
157	245	1306
158	245	1300
159	246	1293
160	246	1285
161	247	1279
162	247	1272
163	248	1265
164	248	1259
165	249	1253
166	249	1246
167	250	1240
168	251	1235
169	252	1230
170	252	1224
171	253	1218
172	253	1213
173	254	1207
174	254	1201
175	255	1195
176	255	1190
177	256	1184
178	257	1179
179	257	1174
180	258	1169
181	259	1164
182	259	1159
183	260	1153
184	260	1148
185	261	1143
186	261	1138
187	262	1133
188	262	1128
189	263	1123
190	264	1119
191	264	1114
192	265	1109
193	266	1105
194	266	1100
195	267	1095
196	267	1090
197	268	1086
198	268	1081
199	269	1076
200	269	1072
201	270	1069
202	271	1064
203	271	1060
204	272	1056
205	272	1051
206	273	1047
207	273	1043
208	274	1038
209	274	1034
210	275	1030
211	276	1026
212	276	1023
213	277	1018
214	277	1014
215	278	1010
216	279	1006
217	279	1003
218	280	999
219	280	995
220	281	991
221	281	987
222	282	983
223	282	980
224	283	976
225	284	972
226	284	969
227	285	965
228	285	961
229	286	958
230	286	954
231	287	951
232	287	947
233	288	944
234	289	940
235	289	937
236	290	934
237	290	930
238	291	927
239	291	923
240	292	920
241	292	917
242	293	913
243	293	910
244	294	907
245	295	904
246	295	901
247	296	898
248	296	895
249	297	891
250	297	888
251	298	885
252	298	882
253	299	879
254	300	876
255	300	873
256	301	872
257	302	869
258	302	866
259	303	863
260	303	860
261	304	857
262	305	854
263	305	851
264	306	848
265	306	846
266	307	843
267	307	840
268	308	838
269	309	835
270	309	832
271	310	829
272	310	827
273	311	824
274	311	821
275	312	819
276	312	816
277	313	814
278	314	812
279	314	809
280	315	807
281	316	804
282	316	802
283	317	799
284	317	796
285	318	794
286	318	791
287	319	789
288	319	786
289	320	784
290	321	782
291	321	780
292	322	777
293	323	775
294	323	773
295	324	771
296	325	769
297	325	767
298	326	765
299	327	763
300	327	761
301	328	758
302	328	756
303	329	754
304	330	752
305	330	749
306	331	747
307	331	745
308	332	743
309	333	741
310	333	739
311	334	736
312	334	734
313	335	732
314	335	730
315	336	728
316	337	726
317	337	724
318	338	722
319	339	720
320	339	718
321	340	716
322	340	714
323	341	712
324	341	710
325	342	708
326	343	706
327	343	704
328	344	703
329	345	701
330	346	699
331	346	697
332	347	695
333	347	693
334	348	691
335	348	689
336	349	687
337	349	685
338	350	683
339	351	681
340	351	679
341	352	677
342	352	675
343	353	673
344	353	672
345	354	670
346	355	668
347	355	666
348	356	664
349	356	662
350	357	660
351	358	659
352	358	657
353	359	655
354	359	653
355	360	651
356	360	649
357	361	647
358	361	646
359	362	644
360	363	642
361	364	641
362	364	639
363	365	637
364	365	636
365	366	634
366	366	632
367	367	630
368	367	629
369	368	627
370	368	625
371	369	624
372	370	622
373	370	620
374	371	619
375	372	617
376	372	615
377	373	613
378	373	612
379	374	610
380	374	608
381	375	607
382	375	605
383	376	604
384	377	602
385	377	600
386	378	599
387	378	597
388	379	595
389	379	594
390	380	592
391	380	590
392	381	589
393	382	588
394	382	586
395	383	584
396	383	583
397	384	581
398	385	579
399	385	578
400	386	576
401	386	575
402	387	573
403	387	572
404	388	570
405	389	569
406	389	567
407	390	566
408	390	564
409	391	562
410	391	561
411	392	559
412	392	558
413	393	557
414	394	555
415	394	554
416	395	553
417	396	551
418	396	550
419	397	548
420	397	547
421	398	545
422	399	544
423	399	543
424	400	541
425	401	540
426	401	539
427	402	537
428	403	536
429	403	535
430	404	533
431	404	532
432	405	530
433	406	529
434	406	528
435	407	527
436	408	525
437	408	524
438	409	523
439	409	521
440	410	520
441	411	519
442	411	517
443	412	516
444	413	515
445	413	514
446	414	512
447	415	511
448	415	510
449	416	508
450	416	507
451	417	506
452	418	504
453	418	503
454	419	502
455	420	501
456	420	499
457	421	498
458	421	497
459	422	496
460	423	494
461	423	493
462	424	492
463	424	490
464	425	489
465	426	488
466	426	487
467	427	486
468	428	484
469	428	483
470	429	482
471	430	481
472	430	479
473	431	478
474	432	477
475	432	476
476	433	475
477	433	473
478	434	472
479	435	471
480	435	470
481	436	468
482	436	467
483	437	466
484	438	465
485	439	464
486	439	463
487	440	461
488	440	460
489	441	459
490	441	458
491	442	456
492	443	455
493	443	454
494	444	453
495	445	452
496	445	451
497	446	450
498	447	449
499	447	447
500	448	446
501	449	445
502	450	444
503	451	444
504	452	443
505	452	442
506	453	440
507	453	439
508	454	438
509	455	437
510	455	436
511	456	435
512	457	434
513	458	433
514	458	431
515	459	430
516	459	429
517	460	428
518	460	427
519	461	425
520	462	424
521	462	423
522	463	422
523	464	421
524	464	420
525	465	419
526	465	418
527	466	417
528	467	415
529	467	414
530	468	413
531	469	412
532	470	411
533	470	410
534	471	409
535	471	408
536	472	407
537	473	406
538	473	405
539	474	403
540	474	402
541	475	402
542	476	400
543	477	399
544	477	398
545	478	397
546	478	396
547	479	395
548	479	394
549	480	393
550	481	392
551	482	391
552	482	390
553	483	389
554	483	387
555	484	386
556	484	385
557	485	384
558	486	383
559	486	382
560	487	381
561	488	380
562	488	379
563	489	378
564	489	377
565	490	376
566	491	375
567	491	373
568	492	372
569	492	371
570	493	370
571	494	369
572	494	368
573	495	367
574	495	366
575	496	365
576	497	364
577	497	363
578	498	362
579	498	361
580	499	360
581	500	359
582	500	358
583	501	357
584	502	356
585	502	355
586	503	354
587	503	352
588	504	351
589	504	350
590	505	349
591	506	349
592	507	348
593	507	347
594	508	346
595	509	345
596	509	344
597	510	343
598	510	342
599	511	341
600	513	340
601	513	339
602	514	338
603	515	337
604	515	336
605	516	335
606	516	334
607	517	333
608	518	332
609	519	332
610	520	331
611	520	330
612	521	329
613	522	328
614	522	327
615	523	326
616	524	325
617	524	324
618	525	323
619	526	322
620	526	321
621	527	320
622	528	319
623	528	318
624	529	317
625	530	316
626	530	315
627	531	314
628	532	313
